Kdex,Ndex,Name,Type1,Type2,Link,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,Damaged Normally by,Weak to,Immue to,Resisant to
 #001, #001,Bulbasaur,Grass,Poison,https://bulbapedia.bulbagarden.net//wiki/Bulbasaur_(Pok%C3%A9mon),45,49,49,65,65,45,"['Normal_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Fire_2×', 'Psychic_2×', 'Ice_2×']",['None'],"['Fighting_½×', 'Water_½×', 'Grass_¼×', 'Electric_½×', 'Fairy_½×']"
 #002, #002,Ivysaur,Grass,Poison,https://bulbapedia.bulbagarden.net//wiki/Ivysaur_(Pok%C3%A9mon),60,62,63,80,80,60,"['Normal_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Fire_2×', 'Psychic_2×', 'Ice_2×']",['None'],"['Fighting_½×', 'Water_½×', 'Grass_¼×', 'Electric_½×', 'Fairy_½×']"
 #003, #003,Venusaur,Grass,Poison,https://bulbapedia.bulbagarden.net//wiki/Venusaur_(Pok%C3%A9mon),80,82,83,100,100,80,"['Normal_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Dragon_1×', 'Dark_1×']","['Flying_2×', 'Fire_2×', 'Psychic_2×', 'Ice_2×']",['None'],"['Fighting_½×', 'Water_½×', 'Grass_¼×', 'Electric_½×', 'Fairy_½×']"
 #004, #004,Charmander,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Charmander_(Pok%C3%A9mon),39,52,43,60,50,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #005, #005,Charmeleon,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Charmeleon_(Pok%C3%A9mon),58,64,58,80,65,80,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #006, #006,Charizard,Fire,Flying,https://bulbapedia.bulbagarden.net//wiki/Charizard_(Pok%C3%A9mon),78,84,78,109,85,100,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Rock_4×', 'Water_2×', 'Electric_2×']",['Ground_0×'],"['Fighting_½×', 'Bug_¼×', 'Steel_½×', 'Fire_½×', 'Grass_¼×', 'Fairy_½×']"
 #007, #007,Squirtle,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Squirtle_(Pok%C3%A9mon),44,48,65,50,64,43,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #008, #008,Wartortle,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Wartortle_(Pok%C3%A9mon),59,63,80,65,80,58,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #009, #009,Blastoise,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Blastoise_(Pok%C3%A9mon),79,83,100,85,105,78,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #010, #010,Caterpie,Bug,Null,https://bulbapedia.bulbagarden.net//wiki/Caterpie_(Pok%C3%A9mon),45,30,35,20,20,45,"['Normal_1×', 'Poison_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×']",['None'],"['Fighting_½×', 'Ground_½×', 'Grass_½×']"
